projectCode,category,planned
25-VPI-I-095,VAT_TU,109189686612
25-VPI-I-095,NHAN_CONG,43691372573
25-VPI-I-095,DICH_VU,5612774255
25-VPI-I-095,CHI_PHI_CHUNG,43312109057
25-VPI-078,VAT_TU,25339928253
25-VPI-078,NHAN_CONG,6716995420
25-VPI-078,DICH_VU,3969299561
25-VPI-078,CHI_PHI_CHUNG,4391343581
26-BRA-I-090,VAT_TU,39215519730
26-BRA-I-090,NHAN_CONG,23254985719
26-BRA-I-090,DICH_VU,5088271545
26-BRA-I-090,CHI_PHI_CHUNG,31995681166
25-WNC-I-097,VAT_TU,5562500070
25-WNC-I-097,NHAN_CONG,3194355600
25-WNC-I-097,DICH_VU,231396375
25-WNC-I-097,CHI_PHI_CHUNG,2342368351
25-WNC-I-104,VAT_TU,902169931
25-WNC-I-104,NHAN_CONG,618155262
25-WNC-I-104,DICH_VU,42136500
25-WNC-I-104,CHI_PHI_CHUNG,455609113
26-WNC-I-109,VAT_TU,1107169396
26-WNC-I-109,NHAN_CONG,719064664
26-WNC-I-109,DICH_VU,57524250
26-WNC-I-109,CHI_PHI_CHUNG,530435371
26-WNC-I-111,VAT_TU,2334034533
26-WNC-I-111,NHAN_CONG,1834625823
26-WNC-I-111,DICH_VU,91065860
26-WNC-I-111,CHI_PHI_CHUNG,978416664
26-WNC-I-112,VAT_TU,3411215764
26-WNC-I-112,NHAN_CONG,2872397814
26-WNC-I-112,DICH_VU,161798700
26-WNC-I-112,CHI_PHI_CHUNG,1410397936
26-GEN-G-10,VAT_TU,3042098746
26-GEN-G-10,NHAN_CONG,938045658
26-GEN-G-10,DICH_VU,167571314
26-GEN-G-10,CHI_PHI_CHUNG,0
26-GEN-G-12,VAT_TU,116757805
26-GEN-G-12,NHAN_CONG,85376334
26-GEN-G-12,DICH_VU,2610000
26-GEN-G-12,CHI_PHI_CHUNG,60528868
26-GEN-G-13,VAT_TU,119463237
26-GEN-G-13,NHAN_CONG,71148344
26-GEN-G-13,DICH_VU,2319400
26-GEN-G-13,CHI_PHI_CHUNG,0
