,,"IBS-HEAVY INDUSTRY JOINT STOCK COMPANY
Address: Km 6 Freeway No. 05 Hung Vuong, Hong Bang District, Hai Phong City, Viet Nam.",,,,,
,,,,,,,
,,APPROVED SUPPLIER LIST,,,,,
,,,,,,,
No.,"Supplier
",Address,"
Contact Person
","Tel - Fax
",Supplied Product/Services,"Approved Date
",Catalog/ Document
I,Steels,,,,,,
1,"Gir Gai Trading Co., Ltd.","No.588, Fenglin 2nd Road, Daliao Dist., Kaohsung City 81, Taiwan R.O.C",Mr. Vu - Oversea GM,"Tel: 886-7-7879966
Fax: 886-7-7880558
Mob: 0903912502","Steel plate, shape steel, pipe, RB, hardox",,
2,KAN INTL INC,"3708 Sleepy Hollow Rd Falls Church, VA22041, USA",Mrs. Nhien,"Tel: +1 (703) 9411200
Mob. 0903385496 ","Steel plate, shape steel, pipe, RB",,
3,JFE Shoji Trade Corp.,"9-5, Otemachi 1-Chome, Chiyoda-ku, Tokyo, 100-8070 Japan",Mr. Satoshi Fukuda,Mob. 082-275-0018,"Steel plate, shape steel (L, U, I, RB, Pipe)",,
4,GNEE STEEL PTE. LTD.,8 KAKI BUKIT AVENUE 4 #03-21 PREMIER @KAKI BUKIT SINGAPORE(41 5875),Ms. KELLY ZHANG,"TEL: +86 1 5824687445
E-mail:kelly@gescosteel.com",Stockist,,A.4-GNEE
5,"Henan Bebon Iron&Steel Co.,Ltd","XICHENG SCIENCE AND TECHNOLOGY BUILDING,ZHENGZHOU, CHINA",Ms. Amy Chin,"T： +86-371-86151627 
F： +86-371-86011881 
E-mail: bb@bebonchina.com
web. www.bebonchina.com",Manufacturer and Stockist,,
6,"Tianjin Bao Steel Co., Ltd.","No. 31, SHENGSHUIHUPAN, JINGHAI DISTRICT,TIANJIN,CHINA",Ms. Mia,"T:022 -28877828 
F: 022 -28877828
baosteel1@tjbaosteel.cn",Manufacturer and Stockist,,
7,Continental Steel PTE Ltd.,100 GUL Circle Singapore 62986,,"Tel: 68620033
Fax: 68616448/68625963
http://www.consteel.com.sg",Stockist,,
